,0
4102,9
11533,14
12245,19
2678,27
10332,4
6011,24
2715,4
12522,26
4730,4
8242,23
10105,4
9287,13
4231,25
13200,27
12858,12
12484,21
5727,16
9798,21
12443,16
6064,3
1398,7
4618,18
973,10
3963,20
5964,18
6561,9
11620,25
4240,27
7796,23
6862,18
12926,20
10889,18
5909,11
7991,19
4073,6
10779,4
1374,4
3088,23
6310,5
9238,7
4392,18
10504,26
7075,17
2458,28
9490,11
9520,15
4877,22
5106,23
6693,25
10,2
9309,16
4475,28
8998,5
1426,11
10856,14
3265,17
12929,21
10715,24
718,6
11711,8
8654,18
7174,1
4184,20
6392,16
12439,15
9693,8
735,8
10719,24
5426,7
323,13
3800,28
2140,16
9022,8
12987,28
6436,21
909,2
2627,21
9099,18
5681,11
3399,5
496,7
12421,13
9615,26
11943,9
9232,7
9365,23
8419,17
3470,14
1206,11
8916,23
11793,19
8113,7
5399,3
7077,17
1195,10
5148,28
7900,8
6832,15
8042,26
5899,10
13195,26
9970,15
8683,22
11327,16
8877,18
288,9
4048,3
6784,9
8040,26
11306,14
7655,5
5886,8
9051,12
9717,11
5090,21
388,21
836,21
11601,23
7787,22
280,8
6348,10
5613,2
8163,13
4672,25
7386,28
12669,16
9284,13
1112,28
4794,12
7607,27
11571,19
12137,6
11448,4
1034,18
11611,24
5128,26
267,6
13137,19
1598,4
4834,17
11675,4
7157,27
10725,25
6890,22
7238,9
6473,26
8741,1
6214,21
3048,18
4982,7
12343,3
1379,5
4679,25
8294,1
10345,6
10618,12
4948,3
10581,7
416,25
5657,8
8769,5
3371,2
1962,22
620,22
1703,17
13337,16
9034,10
8421,17
12431,14
3473,15
7040,13
4013,26
1232,15
12222,16
10079,28
6307,5
7893,7
5066,18
12919,19
11293,12
2516,7
5970,19
10311,1
3094,23
7222,7
7488,13
1190,9
10223,18
7573,23
10872,16
4513,5
6820,13
8249,24
7559,21
13295,10
4338,11
4393,18
10602,10
1506,21
6104,8
11646,28
11939,9
7375,26
11173,25
11105,17
7699,11
13108,15
11077,13
794,16
11844,25
730,8
1344,1
7582,24
6243,25
10290,27
11082,14
2626,21
10701,22
9755,16
9803,22
1745,23
1315,25
7654,5
11926,7
13117,16
2709,3
5483,14
4156,16
7853,2
2675,27
1199,10
10834,11
7248,11
4168,18
11225,4
3126,27
1156,5
8790,7
12118,3
1889,13
6886,21
11756,14
13019,4
32,5
4129,13
9697,9
10441,18
8552,6
1336,28
10475,22
4313,8
11511,11
8398,14
11232,5
9613,26
1610,6
939,6
7716,13
8908,22
9169,27
4303,6
7886,6
10493,24
745,10
11665,3
12342,3
1486,18
2877,24
3909,13
605,20
1741,22
8318,4
1533,24
2651,24
5902,10
7477,11
5032,14
13054,8
3002,12
1821,4
7434,6
6107,8
1330,27
10932,23
5013,11
957,8
2110,12
10884,17
8289,1
3130,28
5697,13
3405,6
11782,17
8827,12
13210,28
1660,12
1026,17
3827,3
8035,25
4118,11
1247,16
11957,11
10080,1
655,26
623,22
9705,10
762,12
6462,24
8994,5
9450,6
12792,4
2199,23
3975,21
6311,5
12152,8
3214,10
6105,8
5511,17
11684,5
10260,23
4401,19
7914,10
10130,7
2764,10
4122,12
1405,8
5643,6
2625,21
8198,17
4193,21
8876,18
3921,15
3148,2
2928,3
1746,23
9974,15
7442,7
2873,24
3547,24
7271,13
7417,4
9385,26
5264,15
2457,28
6518,3
6503,1
76,10
3912,14
6128,11
5820,28
7925,11
9744,15
9029,9
2698,2
6208,21
4936,2
7942,13
6339,9
2260,3
6186,18
1775,26
12910,18
7767,19
93,12
4053,3
9156,25
13223,1
8060,28
5833,2
13318,13
5284,17
714,6
3181,6
4695,27
1076,23
10182,13
12400,11
8012,22
2015,28
5723,16
11670,3
1885,12
7310,18
4768,9
6903,23
8118,7
4010,26
5282,17
1488,19
8563,7
5674,10
8971,2
9564,20
6074,4
12558,2
2759,9
11432,2
6930,27
3352,28
1437,12
1233,15
6872,20
185,24
3753,22
5384,2
5444,9
7717,13
6321,7
2465,1
5369,28
2286,6
2067,7
1297,23
5559,23
9813,23
3752,22
4244,27
5502,16
449,1
3746,21
9118,20
2960,7
10117,5
10274,25
3621,5
2317,10
10753,1
5608,2
2185,22
381,20
1890,13
1155,5
6590,12
6443,22
5151,28
1728,21
7338,22
11891,3
9643,2
2425,24
2727,5
6225,23
12218,16
1253,17
9681,7
5473,13
10865,15
2503,5
13401,24
6916,25
2463,28
4614,17
2846,20
7134,24
13096,14
11137,21
1612,6
13331,15
3656,10
2191,22
1729,21
5834,2
12776,2
9285,13
4830,16
10034,23
9936,11
5531,20
8295,1
2206,24
530,11
8629,15
8055,27
567,15
10103,3
13151,20
9344,21
5477,13
5049,16
13239,3
3485,16
4047,2
12422,13
9363,23
10280,26
6779,8
4860,20
12211,15
8983,3
11210,2
144,19
4438,23
10764,2
4189,20
10628,13
2755,9
10685,20
6631,17
2492,4
9749,15
3139,1
5181,4
11792,19
7300,17
4767,8
6496,1
3272,18
13181,24
7153,27
2889,26
788,15
4542,8
8401,15
4226,25
4896,25
10533,1
7890,7
12559,2
11183,26
11481,8
1780,27
11781,17
2959,6
11071,12
11129,20
349,16
11988,15
4720,3
3349,27
42,6
801,17
3529,22
4884,23
981,11
3458,13
6199,19
4457,26
6147,13
10743,27
8943,26
8928,25
9498,12
9806,22
7932,12
916,3
1616,7
4484,1
13046,7
2146,17
1833,6
8570,8
8215,19
11109,17
11441,3
8774,5
8700,24
9676,6
782,14
11966,12
6223,22
9531,16
9147,24
2401,21
6206,20
2152,18
13269,7
2947,5
8573,8
9993,18
4789,11
5861,5
11365,21
4962,5
8157,12
3023,14
3541,23
3279,18
12794,4
7530,18
4533,7
2804,15
2211,25
5957,17
7131,24
12293,25
3133,28
5034,14
5547,22
2107,12
9593,24
10172,12
3973,21
9170,27
3034,16
13359,18
3286,19
2367,16
8240,23
12372,7
440,28
12584,6
7044,13
12019,19
12247,19
10289,27
1224,14
7168,1
2592,17
3247,14
9117,20
10020,21
7363,25
8444,20
2691,1
4132,13
5460,11
4900,25
2249,2
8106,6
10211,17
9589,23
9030,9
3649,9
7836,28
8868,17
4643,21
5846,3
1360,3
3196,8
2037,3
486,5
8913,23
783,14
7267,13
12244,19
10334,4
3238,13
11618,25
11381,23
10056,26
11117,18
13404,24
7217,7
11783,17
1915,16
10840,12
13264,7
3464,14
2138,16
8544,5
5333,23
742,9
12095,28
5885,8
13052,8
7047,13
12415,12
3442,11
10803,7
2847,20
5692,12
9574,21
8206,18
10052,25
4352,13
5424,7
6706,27
7968,17
1834,6
8510,28
10760,2
11281,11
12760,28
4602,16
11138,21
8824,12
4791,11
12652,14
3003,12
23,3
10888,18
3524,21
9843,27
9258,10
8001,21
1309,24
7289,16
6939,28
3475,15
789,15
10670,18
10688,21
3284,19
5226,10
2514,7
9844,27
7510,15
5756,20
12837,9
7928,12
7841,1
3688,14
1395,7
4504,4
4315,8
13365,19
12547,1
8349,8
4374,15
6750,4
5125,25
12381,8
9100,18
7809,25
3301,21
11483,8
9231,6
9695,8
5689,12
712,6
4279,3
7550,20
8344,8
1822,4
8443,20
5042,15
8446,20
11772,16
10514,27
5294,18
1977,24
10686,20
3264,17
8375,11
252,4
9967,14
2098,11
4981,7
10165,11
3671,11
7632,3
9952,13
12660,15
5514,18
4731,4
7333,21
11518,12
13057,9
10659,17
7772,20
9955,13
9466,8
6883,21
5312,21
13351,17
6858,18
8471,23
11806,20
56,8
3412,7
13116,16
2855,21
5015,11
2986,10
8273,27
4999,9
12271,22
6865,19
10584,8
12032,21
7580,24
2188,22
5224,10
4049,3
9393,27
7738,16
9918,8
12564,3
3544,24
519,9
11155,23
9359,22
6594,13
5817,28
227,1
6921,26
5465,12
12555,2
10450,19
12550,1
10458,20
1699,17
13358,18
11660,2
1877,11
513,9
6522,4
11416,28
8618,14
5576,26
10763,2
10416,15
4810,14
6692,25
2916,1
480,5
10036,23
11979,14
2577,15
4685,26
12172,10
6888,22
10089,2
8704,25
7344,23
1596,4
10629,13
3896,12
9484,10
1349,1
7724,14
5815,27
3777,25
12877,14
7200,5
8408,16
13395,23
9445,5
10244,21
6178,17
10967,27
2762,10
13209,28
11673,4
3685,13
3602,3
7372,26
9366,23
1446,13
4984,8
1020,16
705,5
5905,11
1866,10
5960,18
6152,14
9891,5
10522,28
2574,14
10857,14
2956,6
3742,20
3914,14
8020,23
1419,10
1103,26
6803,11
13432,28
9751,15
1558,27
5519,18
8833,13
10014,20
11491,9
3523,21
7585,25
3400,6
13012,3
6740,3
4519,5
6418,19
13111,15
2652,24
6125,10
12597,7
10896,19
10941,24
11681,5
292,9
2836,19
10728,26
10386,11
10373,9
2870,23
10564,5
9716,11
9464,8
5778,23
13193,26
1318,25
2730,6
7635,3
9360,23
8132,9
7995,20
12261,21
2228,27
6729,2
4418,21
11376,23
5871,6
5709,14
5564,24
356,17
10029,22
12051,23
837,21
266,6
2006,27
10609,11
10973,28
2362,16
5597,28
11059,11
10528,1
6475,26
826,20
8749,2
4253,28
4885,23
11959,11
6760,6
1441,13
3066,20
8645,17
2748,8
5987,21
7406,2
3061,19
7596,26
7076,17
12887,15
1963,22
3125,27
5220,9
5129,26
1127,1
8233,22
10586,8
5165,2
8724,27
11846,25
6070,3
5430,7
1543,25
3263,16
8355,9
10012,20
2268,4
6906,24
12949,23
12725,23
132,17
8394,14
10497,25
603,20
10863,14
7663,6
393,22
12300,26
7885,6
6224,23
3928,16
5612,2
5418,6
11652,1
6662,21
11705,8
2277,5
9616,27
3234,13
10995,3
3498,18
10877,16
9386,26
4829,16
401,23
7944,14
6987,6
13071,10
9513,14
10296,28
3403,6
8826,12
3883,10
10132,7
10940,24
12850,11
1573,1
12503,23
9202,3
2423,23
7541,19
11355,20
6822,13
6281,2
10744,28
10235,20
4705,1
11625,26
6580,11
809,18
9878,3
2650,24
5353,26
13313,13
10456,20
3190,7
3620,5
1702,17
5436,8
12735,24
3650,9
6209,21
12905,18
6220,22
11349,19
3370,2
12625,11
6853,17
6670,22
9136,23
8339,7
10007,19
6757,5
6174,16
11732,11
13276,8
664,28
9280,13
7903,8
11848,26
3347,27
1568,1
462,2
743,9
222,28
8805,9
3994,24
7436,6
9779,19
625,23
9559,19
8211,19
13040,7
13206,27
12187,12
6794,10
4449,25
12581,5
456,2
10781,4
8265,26
4335,10
2621,20
6423,19
10372,9
7103,20
8558,6
9137,23
1760,25
842,22
11807,20
11409,27
5250,13
2902,27
8962,1
4832,17
6044,28
12758,27
5952,17
5234,11
10027,22
11019,6
3431,9
12663,15
11451,4
11709,8
5098,22
10424,16
8051,27
6398,16
6606,14
12984,28
6145,13
4850,19
9040,11
9599,24
368,19
11268,9
3593,2
1415,9
7685,9
13323,14
6569,10
12605,8
4746,6
13246,4
1721,20
7664,7
4060,4
12952,24
1824,5
9463,7
5714,15
10811,8
10906,20
3232,13
1918,16
6407,17
1569,1
11006,4
347,16
1242,16
10374,9
7484,12
10143,8
5079,19
6557,8
6151,13
5327,22
10679,19
12130,5
13220,1
8334,6
5206,7
10146,9
5936,15
12260,21
5259,14
11950,10
5507,17
9523,15
1222,13
6087,5
2134,15
13339,16
8300,2
8028,24
509,8
13317,13
11685,5
748,10
1259,18
4718,2
1888,13
711,5
11787,18
12272,23
6366,12
9267,11
6607,14
3329,25
3293,20
8803,9
10592,9
4913,27
12647,13
9734,13
104,14
1794,1
2386,19
5199,6
13409,25
1658,12
212,27
6697,26
4419,21
12667,16
1359,2
334,14
13363,19
3110,25
792,16
233,2
13196,26
1064,22
209,27
10270,24
6878,20
7949,14
4498,3
11958,11
2413,22
7019,10
6149,13
10381,10
12316,28
871,25
1263,18
1618,7
4345,12
2414,22
6461,24
1220,13
6444,22
1765,25
9313,17
7169,1
13434,28
2001,27
7816,26
4581,13
7975,17
1485,18
3582,28
2523,8
11788,18
5117,24
3078,21
1305,24
4782,10
6720,1
4381,16
10263,23
6682,24
13329,15
2165,19
617,22
13038,6
5896,10
5008,11
12963,25
9931,10
8146,11
11121,19
4770,9
13170,23
2004,27
12848,11
3047,17
12958,24
11906,5
12405,11
12040,22
8976,3
3095,23
12485,21
3285,19
8517,1
8487,25
6472,26
1313,25
5667,9
11868,28
6913,25
2903,27
6983,5
3333,25
3053,18
9957,13
13287,9
8802,9
2269,4
7854,2
6973,4
8938,26
8412,16
9990,17
5145,28
13256,6
10635,14
4707,1
11973,13
2114,13
10085,1
11723,10
4959,4
2602,18
11535,14
4607,16
11030,7
10087,1
4756,7
9757,16
10240,21
520,10
9395,27
5804,26
8457,22
7745,17
1092,25
5328,23
7201,5
7054,14
3771,24
1109,27
4655,22
1038,18
5391,2
20,3
11068,12
11878,1
934,5
10379,10
12145,7
12692,19
1726,20
4490,2
10608,11
7666,7
1737,22
12004,17
561,15
9048,12
12397,10
11770,16
1162,6
7722,14
11189,27
5614,2
1527,23
8650,18
2930,3
58,8
7523,17
11698,7
13166,22
4483,1
2291,7
9577,22
11531,14
6666,22
9604,25
10368,9
1649,11
13260,6
6325,7
2724,5
11648,1
10730,26
10903,19
11544,16
12771,1
7634,3
5286,17
7458,9
11617,25
10018,21
3870,8
9522,15
12781,2
2907,28
9665,5
3538,23
915,3
4415,20
9763,17
10310,1
1817,4
13125,17
3949,18
337,15
2072,8
12352,5
9448,6
10588,8
3513,20
2815,16
6119,9
6741,3
7971,17
12817,7
766,12
3782,25
6306,5
1144,4
10977,1
2510,6
5980,20
2273,5
7471,10
8587,10
8520,2
4864,21
5921,13
6329,8
11269,9
4924,28
4532,7
5169,3
1672,14
7474,11
5513,18
4055,3
9266,11
1808,3
2275,5
3761,23
7727,14
9489,11
8857,16
6071,3
2045,4
8343,7
5489,15
1295,22
10365,8
4687,26
3952,19
7111,21
4317,8
11175,25
444,28
858,24
4439,23
841,22
7539,19
7132,24
10370,9
994,13
8900,21
12098,1
1554,27
1973,23
7018,10
12662,15
8516,1
13389,22
2513,7
2835,19
4700,28
2445,26
2233,28
3050,18
8993,5
400,23
7246,10
7055,14
8775,5
1023,16
3298,21
11147,22
8101,5
13126,17
5598,28
8953,28
7318,19
9421,2
7565,22
13051,8
4080,7
803,17
1550,26
1009,15
13403,24
2737,7
648,26
7630,2
2862,22
4975,6
9703,9
8631,15
550,13
11642,28
12836,9
211,27
11235,5
9247,8
13327,14
8037,25
3543,23
6061,2
1438,12
2515,7
2868,23
2434,25
5045,15
4792,12
11462,5
9115,20
6969,4
1314,25
8366,10
5271,15
12157,8
3979,22
12,2
7460,9
818,19
2784,13
11631,26
453,1
7897,8
13026,5
1656,12
3457,13
8948,27
11744,13
10559,4
11662,2
2908,28
9954,13
940,6
12099,1
7058,15
10355,7
6180,17
6458,24
8576,9
4634,20
6791,9
5996,22
1400,8
30,4
3677,12
7757,18
8864,17
5963,18
7769,20
6856,18
7855,2
1108,27
11931,8
12167,9
3229,12
13112,16
8479,24
11997,16
3319,23
8999,5
6077,4
8283,28
8625,15
7261,12
2553,12
13294,10
9021,8
9275,12
8534,3
10046,24
1563,28
11719,9
6552,8
3071,20
10455,19
12820,7
4474,28
5981,20
10637,14
10022,21
4856,20
10459,20
5324,22
6187,18
10742,27
9316,17
6572,10
4601,16
11672,4
5549,22
12393,10
2213,25
4929,1
9801,22
7320,20
10717,24
5406,4
2111,12
12193,13
12188,12
7895,7
11929,8
4446,24
12147,7
10086,1
6189,18
5026,13
8723,27
10783,4
9162,26
12849,11
355,17
1429,11
9054,12
9500,12
9713,11
5405,4
332,14
12398,10
12008,18
4224,25
964,9
120,16
4930,1
5403,4
10652,16
4710,1
3281,19
2370,17
2544,11
6755,5
8324,5
2885,25
9008,7
2178,21
7760,19
4898,25
5153,1
11912,6
6395,16
6170,16
12879,14
6141,12
3123,27
10773,3
1544,26
7534,18
12857,12
9635,1
8064,1
8628,15
9075,15
7837,28
945,7
4550,9
11994,16
6830,14
10711,23
12796,4
1675,14
8454,21
1561,28
10405,13
12621,10
6335,8
4541,8
7662,6
12977,27
1095,25
9572,21
6176,17
3287,19
11115,18
677,1
2605,18
1392,7
12783,2
11624,26
752,11
1711,18
3737,20
13148,20
12410,12
3215,10
7802,24
6658,21
1777,27
4113,11
1770,26
11455,4
5651,7
3022,14
4228,25
3012,13
12270,22
6933,27
13435,28
4619,18
9877,3
5466,12
6405,17
8911,22
527,10
7476,11
12332,2
4264,2
4262,1
6739,3
1919,16
701,4
10946,25
8439,19
8093,4
5404,4
7862,3
10797,6
4868,21
1298,23
6021,25
1352,2
2926,2
9288,14
12723,23
1287,21
10642,15
10141,8
11007,4
7695,10
7383,27
3697,15
2013,28
8995,5
4373,15
8014,22
7444,7
7388,28
2147,17
9152,25
11733,11
7104,21
7824,27
10594,9
5491,15
8664,20
8985,4
6417,19
10156,10
810,18
11556,17
2073,8
9357,22
10464,21
9862,1
885,27
1477,17
1790,28
6577,11
2008,28
7586,25
682,2
3895,11
6201,20
7599,26
10239,20
57,8
7540,19
10098,3
2399,20
6975,4
12940,22
4126,12
9778,19
8330,6
1468,16
1416,10
470,3
2358,15
2722,5
5803,26
11463,5
11398,25
7640,4
4525,6
4610,17
11339,18
10839,11
10389,11
3869,8
12894,16
11574,19
5381,1
6455,23
9473,9
10579,7
4674,25
1055,20
2281,6
9997,18
8094,4
1924,17
4907,26
10107,4
12141,6
1075,23
1115,28
3936,17
3533,22
8193,17
460,2
3032,16
4207,22
11972,13
8539,4
1452,14
2149,17
319,12
6302,4
8686,22
1922,17
9334,19
11937,9
6703,26
10850,13
12264,22
12681,18
2129,15
5725,16
7366,25
9799,21
11042,9
2509,6
1052,20
8622,14
9229,6
4067,5
5024,13
1456,15
6661,21
361,18
10931,23
12935,21
13261,6
3145,2
11460,5
10213,17
7779,21
9356,22
10827,10
9294,14
13284,9
540,12
4235,26
11385,24
7072,17
11343,18
12128,5
754,11
7606,27
2003,27
2542,10
12203,14
9835,26
5218,9
13268,7
4271,2
100,13
5556,23
5362,27
4766,8
9567,20
4880,23
8729,28
601,20
8557,6
11984,15
5687,11
2431,24
1044,19
10414,14
1557,27
5009,11
1487,18
9934,10
12360,6
7733,15
2115,13
9458,7
618,22
7520,17
6959,2
6192,19
3396,5
1600,5
9224,6
12715,22
1615,6
1752,24
7439,6
11550,16
2083,9
9821,24
6478,26
9646,2
12097,1
10119,5
5147,28
10041,24
675,1
2545,11
7926,11
11187,27
3999,24
12766,28
5096,22
175,22
6935,27
3609,4
10531,1
3787,26
5761,21
12108,2
2225,27
3049,18
7336,22
1126,1
6826,14
12793,4
7328,21
2441,26
1322,26
1603,5
4210,23
10469,21
11576,20
4065,5
1294,22
5007,10
12567,3
9538,17
11198,28
4071,5
1507,21
1559,27
6743,3
8098,5
5822,28
12566,3
10648,16
1836,6
6196,19
11469,6
5335,23
1354,2
12998,1
8409,16
11856,27
4844,18
4723,3
7249,11
4032,1
1235,15
7095,19
9150,24
9487,10
11971,13
12254,20
2251,2
1025,17
13308,12
5914,12
7265,13
11320,16
9797,21
3397,5
313,12
